Dataset,Method,Avg Training Accuracy,Avg Testing Accuracy,Training/Test,Rules,Training loops
Breast Cancer,"('Classical', 'N=', 0)",93.4065934065934,92.98245614035088,80/20,10,100
Breast Cancer,"('Classical', 'N=', 0)",91.64835164835164,86.84210526315789,80/20,10,100
Breast Cancer,"('Classical', 'N=', 0)",90.54945054945055,91.2280701754386,80/20,10,100
Breast Cancer,"('Classical', 'N=', 0)",93.18681318681318,89.47368421052632,80/20,10,100
Breast Cancer,"('Classical', 'N=', 0)",92.52747252747253,89.47368421052632,80/20,10,100
Breast Cancer,"('Classical', 'N=', 0)",89.89010989010988,92.98245614035088,80/20,10,100
Breast Cancer,"('Classical', 'N=', 0)",92.74725274725274,92.98245614035088,80/20,10,100
Breast Cancer,"('Classical', 'N=', 0)",93.62637362637362,90.35087719298244,80/20,10,100
Breast Cancer,"('Classical', 'N=', 0)",90.32967032967034,90.35087719298244,80/20,10,100
Breast Cancer,"('Classical', 'N=', 0)",91.64835164835164,91.2280701754386,80/20,10,100
Breast Cancer,"('Therm', 'N=', 1)",63.51648351648352,60.526315789473685,80/20,10,100
Breast Cancer,"('Therm', 'N=', 1)",63.95604395604396,59.64912280701754,80/20,10,100
Breast Cancer,"('Therm', 'N=', 1)",63.51648351648352,59.64912280701754,80/20,10,100
Breast Cancer,"('Therm', 'N=', 1)",63.2967032967033,57.01754385964912,80/20,10,100
Breast Cancer,"('Therm', 'N=', 1)",63.73626373626374,58.77192982456141,80/20,10,100
Breast Cancer,"('Therm', 'N=', 1)",63.73626373626374,59.64912280701754,80/20,10,100
Breast Cancer,"('Therm', 'N=', 1)",63.51648351648352,60.526315789473685,80/20,10,100
Breast Cancer,"('Therm', 'N=', 1)",64.17582417582418,61.40350877192982,80/20,10,100
Breast Cancer,"('Therm', 'N=', 1)",63.2967032967033,61.40350877192982,80/20,10,100
Breast Cancer,"('Therm', 'N=', 1)",63.07692307692308,59.64912280701754,80/20,10,100
Breast Cancer,"('Therm', 'N=', 2)",92.08791208791207,91.2280701754386,80/20,10,100
Breast Cancer,"('Therm', 'N=', 2)",91.86813186813188,88.59649122807018,80/20,10,100
Breast Cancer,"('Therm', 'N=', 2)",93.4065934065934,90.35087719298244,80/20,10,100
Breast Cancer,"('Therm', 'N=', 2)",92.52747252747253,90.35087719298244,80/20,10,100
Breast Cancer,"('Therm', 'N=', 2)",91.42857142857144,89.47368421052632,80/20,10,100
Breast Cancer,"('Therm', 'N=', 2)",93.18681318681318,90.35087719298244,80/20,10,100
Breast Cancer,"('Therm', 'N=', 2)",93.84615384615384,92.10526315789474,80/20,10,100
Breast Cancer,"('Therm', 'N=', 2)",91.86813186813188,91.2280701754386,80/20,10,100
Breast Cancer,"('Therm', 'N=', 2)",92.52747252747253,89.47368421052632,80/20,10,100
Breast Cancer,"('Therm', 'N=', 2)",91.64835164835164,90.35087719298244,80/20,10,100
Breast Cancer,"('Therm', 'N=', 3)",91.42857142857144,90.35087719298244,80/20,10,100
Breast Cancer,"('Therm', 'N=', 3)",93.62637362637362,91.2280701754386,80/20,10,100
Breast Cancer,"('Therm', 'N=', 3)",94.06593406593409,91.2280701754386,80/20,10,100
Breast Cancer,"('Therm', 'N=', 3)",93.18681318681318,91.2280701754386,80/20,10,100
Breast Cancer,"('Therm', 'N=', 3)",92.52747252747253,91.2280701754386,80/20,10,100
Breast Cancer,"('Therm', 'N=', 3)",92.96703296703296,92.10526315789474,80/20,10,100
Breast Cancer,"('Therm', 'N=', 3)",92.3076923076923,90.35087719298244,80/20,10,100
Breast Cancer,"('Therm', 'N=', 3)",90.76923076923076,88.59649122807018,80/20,10,100
Breast Cancer,"('Therm', 'N=', 3)",90.54945054945055,91.2280701754386,80/20,10,100
Breast Cancer,"('Therm', 'N=', 3)",93.62637362637362,88.59649122807018,80/20,10,100
Breast Cancer,"('Therm', 'N=', 4)",93.84615384615384,90.35087719298244,80/20,10,100
Breast Cancer,"('Therm', 'N=', 4)",93.62637362637362,90.35087719298244,80/20,10,100
Breast Cancer,"('Therm', 'N=', 4)",93.18681318681318,91.2280701754386,80/20,10,100
Breast Cancer,"('Therm', 'N=', 4)",92.74725274725274,91.2280701754386,80/20,10,100
Breast Cancer,"('Therm', 'N=', 4)",92.96703296703296,90.35087719298244,80/20,10,100
Breast Cancer,"('Therm', 'N=', 4)",92.52747252747253,91.2280701754386,80/20,10,100
Breast Cancer,"('Therm', 'N=', 4)",92.96703296703296,92.10526315789474,80/20,10,100
Breast Cancer,"('Therm', 'N=', 4)",92.3076923076923,90.35087719298244,80/20,10,100
Breast Cancer,"('Therm', 'N=', 4)",89.67032967032966,88.59649122807018,80/20,10,100
Breast Cancer,"('Therm', 'N=', 4)",92.3076923076923,89.47368421052632,80/20,10,100
Breast Cancer,"('Therm', 'N=', 5)",92.74725274725274,88.59649122807018,80/20,10,100
