Dataset,Method,Avg Training Accuracy,Avg Testing Accuracy,Training/Test,Rules,Training loops
income,"('Classical', 'N=', 0)",51.98730581219768,52.68707134814208,80/20,10,100
income,"('Classical', 'N=', 0)",50.82537813835641,51.19254785546115,80/20,10,100
income,"('Classical', 'N=', 0)",50.95590305325928,49.88228068379568,80/20,10,100
income,"('Classical', 'N=', 0)",50.52337931563996,50.967345685331146,80/20,10,100
income,"('Classical', 'N=', 0)",50.92775062063318,50.61930596785751,80/20,10,100
income,"('Classical', 'N=', 0)",50.328871599314105,51.75555328078616,80/20,10,100
income,"('Classical', 'N=', 0)",53.13643692575436,53.48551540587573,80/20,10,100
income,"('Classical', 'N=', 0)",53.68412970593504,52.43115979117617,80/20,10,100
income,"('Classical', 'N=', 0)",51.36539298236634,51.15160200634661,80/20,10,100
income,"('Classical', 'N=', 0)",50.9712589256008,50.35315794861296,80/20,10,100
income,"('Therm', 'N=', 1)",16.684155299055615,16.061009315180673,80/20,10,100
income,"('Therm', 'N=', 1)",16.52547795152663,16.21455624936022,80/20,10,100
income,"('Therm', 'N=', 1)",16.658562178486424,16.153137475688403,80/20,10,100
income,"('Therm', 'N=', 1)",16.561308320323498,16.255502098474768,80/20,10,100
income,"('Therm', 'N=', 1)",16.574104880608093,16.378339645818404,80/20,10,100
income,"('Therm', 'N=', 1)",16.538274511811224,16.54212304227659,80/20,10,100
income,"('Therm', 'N=', 1)",16.510122079185116,16.470467806326134,80/20,10,100
income,"('Therm', 'N=', 1)",16.47173239833133,16.44999488176886,80/20,10,100
income,"('Therm', 'N=', 1)",16.49220689478668,16.583068891391136,80/20,10,100
income,"('Therm', 'N=', 1)",16.57666419266501,15.938171767837035,80/20,10,100
income,"('Therm', 'N=', 2)",50.743480152535,50.60906950557887,80/20,10,100
income,"('Therm', 'N=', 2)",50.89703887595015,50.967345685331146,80/20,10,100
income,"('Therm', 'N=', 2)",51.490799273155375,51.78626266762207,80/20,10,100
income,"('Therm', 'N=', 2)",51.75440841501804,51.29491247824752,80/20,10,100
income,"('Therm', 'N=', 2)",50.84585263481176,49.67755143822295,80/20,10,100
income,"('Therm', 'N=', 2)",51.75184910296112,51.58153342204934,80/20,10,100
income,"('Therm', 'N=', 2)",50.720446344022726,50.46575903367796,80/20,10,100
income,"('Therm', 'N=', 2)",50.65646354259975,50.690961203807966,80/20,10,100
income,"('Therm', 'N=', 2)",50.63854835820131,50.95710922305251,80/20,10,100
income,"('Therm', 'N=', 2)",51.42937578378932,50.547650731907055,80/20,10,100
income,"('Therm', 'N=', 3)",51.8567808972948,50.91616337393797,80/20,10,100
income,"('Therm', 'N=', 3)",51.634120748342845,50.98781860988842,80/20,10,100
income,"('Therm', 'N=', 3)",51.40378266322013,51.18231139318252,80/20,10,100
income,"('Therm', 'N=', 3)",52.632252450541294,52.80990889548572,80/20,10,100
income,"('Therm', 'N=', 3)",50.99941135822691,51.48940526154161,80/20,10,100
income,"('Therm', 'N=', 3)",50.61807386174596,50.59883304330024,80/20,10,100
income,"('Therm', 'N=', 3)",50.44659995393239,51.27443955369024,80/20,10,100
income,"('Therm', 'N=', 3)",50.45427789010314,51.243730166854334,80/20,10,100
income,"('Therm', 'N=', 3)",52.81140429452563,52.451632715733446,80/20,10,100
income,"('Therm', 'N=', 3)",51.46264684052927,51.89886375268707,80/20,10,100
income,"('Therm', 'N=', 4)",50.64622629437207,50.48623195823524,80/20,10,100
income,"('Therm', 'N=', 4)",50.52082000358304,50.98781860988842,80/20,10,100
income,"('Therm', 'N=', 4)",51.48823996109846,51.46893233698434,80/20,10,100
income,"('Therm', 'N=', 4)",52.10759347887288,51.36656771419797,80/20,10,100
income,"('Therm', 'N=', 4)",54.31627978399406,53.9256832838571,80/20,10,100
income,"('Therm', 'N=', 4)",50.395413712794,51.88862729040844,80/20,10,100
income,"('Therm', 'N=', 4)",50.53361656386763,50.9263998362166,80/20,10,100
income,"('Therm', 'N=', 4)",52.13830522355591,52.36974101750435,80/20,10,100
income,"('Therm', 'N=', 4)",51.242546003634224,51.72484389395025,80/20,10,100
income,"('Therm', 'N=', 4)",52.89842090446088,51.79649912990071,80/20,10,100
income,"('Therm', 'N=', 5)",52.92913264914391,53.57764356638346,80/20,10,100
income,"('Therm', 'N=', 5)",50.71020909579505,50.8137987511516,80/20,10,100
income,"('Therm', 'N=', 5)",51.6955442377089,51.36656771419797,80/20,10,100
income,"('Therm', 'N=', 5)",50.65646354259975,50.680724741529325,80/20,10,100
income,"('Therm', 'N=', 5)",52.22788114554808,53.71071757600573,80/20,10,100
income,"('Therm', 'N=', 5)",51.61620556394441,51.67366158255707,80/20,10,100
income,"('Therm', 'N=', 5)",50.71788703196581,50.31221209949841,80/20,10,100
income,"('Therm', 'N=', 5)",50.82281882629949,50.94687276077388,80/20,10,100
income,"('Therm', 'N=', 5)",50.78186983338878,50.3633944108916,80/20,10,100
income,"('Therm', 'N=', 5)",50.57968418089217,51.397277101033886,80/20,10,100
