Dataset,Method,Avg Training Accuracy,Avg Testing Accuracy,Training/Test,Rules,Training loops
mushroom,"('Classical', 'N=', 0)",88.93675950146176,87.63076923076923,80/20,10,100
mushroom,"('Classical', 'N=', 0)",96.53792891214032,96.6153846153846,80/20,10,100
mushroom,"('Classical', 'N=', 0)",96.09170641637176,95.93846153846154,80/20,10,100
mushroom,"('Classical', 'N=', 0)",88.95214648407448,87.6923076923077,80/20,10,100
mushroom,"('Classical', 'N=', 0)",91.0601631020157,89.96923076923076,80/20,10,100
mushroom,"('Classical', 'N=', 0)",97.41498692106478,97.04615384615384,80/20,10,100
mushroom,"('Classical', 'N=', 0)",96.04554546853362,95.63076923076925,80/20,10,100
mushroom,"('Classical', 'N=', 0)",95.15310047699646,95.01538461538462,80/20,10,100
mushroom,"('Classical', 'N=', 0)",91.8756731804893,91.63076923076925,80/20,10,100
mushroom,"('Classical', 'N=', 0)",96.46099399907678,96.92307692307692,80/20,10,100
mushroom,"('Therm', 'N=', 1)",47.91506385597784,49.35384615384616,80/20,10,100
mushroom,"('Therm', 'N=', 1)",48.29973842129559,47.815384615384616,80/20,10,100
mushroom,"('Therm', 'N=', 1)",47.93045083859055,49.292307692307695,80/20,10,100
mushroom,"('Therm', 'N=', 1)",48.23819049084474,48.06153846153846,80/20,10,100
mushroom,"('Therm', 'N=', 1)",47.91506385597784,49.35384615384616,80/20,10,100
mushroom,"('Therm', 'N=', 1)",47.71503308201262,50.15384615384615,80/20,10,100
mushroom,"('Therm', 'N=', 1)",48.19202954300662,48.246153846153845,80/20,10,100
mushroom,"('Therm', 'N=', 1)",48.34589936913371,47.63076923076923,80/20,10,100
mushroom,"('Therm', 'N=', 1)",48.130481612555776,48.49230769230769,80/20,10,100
mushroom,"('Therm', 'N=', 1)",48.115094629943066,48.55384615384615,80/20,10,100
mushroom,"('Therm', 'N=', 2)",90.96784120633944,92.0,80/20,10,100
mushroom,"('Therm', 'N=', 2)",89.6291737190337,89.23076923076923,80/20,10,100
mushroom,"('Therm', 'N=', 2)",90.22926604092936,89.29230769230769,80/20,10,100
mushroom,"('Therm', 'N=', 2)",87.93660563163563,88.12307692307692,80/20,10,100
mushroom,"('Therm', 'N=', 2)",88.42898907524234,88.61538461538461,80/20,10,100
mushroom,"('Therm', 'N=', 2)",89.72149561470995,90.27692307692308,80/20,10,100
mushroom,"('Therm', 'N=', 2)",88.95214648407448,87.26153846153846,80/20,10,100
mushroom,"('Therm', 'N=', 2)",90.07539621480228,91.81538461538462,80/20,10,100
mushroom,"('Therm', 'N=', 2)",91.10632404985382,90.64615384615384,80/20,10,100
mushroom,"('Therm', 'N=', 2)",89.3214340667795,89.29230769230769,80/20,10,100
mushroom,"('Therm', 'N=', 3)",95.89167564240653,96.49230769230768,80/20,10,100
mushroom,"('Therm', 'N=', 3)",96.90721649484536,96.73846153846154,80/20,10,100
mushroom,"('Therm', 'N=', 3)",97.50730881674104,97.23076923076924,80/20,10,100
mushroom,"('Therm', 'N=', 3)",88.49053700569318,89.41538461538461,80/20,10,100
mushroom,"('Therm', 'N=', 3)",88.44437605785505,89.84615384615384,80/20,10,100
mushroom,"('Therm', 'N=', 3)",92.86044006770273,92.73846153846154,80/20,10,100
mushroom,"('Therm', 'N=', 3)",94.53762117248807,93.1076923076923,80/20,10,100
mushroom,"('Therm', 'N=', 3)",92.41421757193416,93.29230769230767,80/20,10,100
mushroom,"('Therm', 'N=', 3)",88.79827665794738,88.24615384615385,80/20,10,100
mushroom,"('Therm', 'N=', 3)",88.78288967533467,88.18461538461538,80/20,10,100
mushroom,"('Therm', 'N=', 4)",95.59932297276504,96.43076923076924,80/20,10,100
mushroom,"('Therm', 'N=', 4)",94.09139867671948,94.52307692307691,80/20,10,100
mushroom,"('Therm', 'N=', 4)",90.36774888444376,89.9076923076923,80/20,10,100
mushroom,"('Therm', 'N=', 4)",96.87644252961994,96.73846153846154,80/20,10,100
mushroom,"('Therm', 'N=', 4)",88.79827665794738,88.67692307692307,80/20,10,100
mushroom,"('Therm', 'N=', 4)",96.0147715033082,95.75384615384615,80/20,10,100
mushroom,"('Therm', 'N=', 4)",90.58316664102168,90.4,80/20,10,100
mushroom,"('Therm', 'N=', 4)",88.45976304046776,89.53846153846153,80/20,10,100
mushroom,"('Therm', 'N=', 4)",88.96753346668719,87.50769230769231,80/20,10,100
mushroom,"('Therm', 'N=', 4)",90.81397138021234,91.01538461538462,80/20,10,100
mushroom,"('Therm', 'N=', 5)",88.73672872749654,88.06153846153846,80/20,10,100
mushroom,"('Therm', 'N=', 5)",88.65979381443299,88.73846153846154,80/20,10,100
mushroom,"('Therm', 'N=', 5)",93.41437144176028,93.35384615384616,80/20,10,100
mushroom,"('Therm', 'N=', 5)",92.62963532851208,92.49230769230768,80/20,10,100
mushroom,"('Therm', 'N=', 5)",91.62948145868596,91.2,80/20,10,100
mushroom,"('Therm', 'N=', 5)",88.87521157101092,89.84615384615384,80/20,10,100
mushroom,"('Therm', 'N=', 5)",88.38282812740421,89.84615384615384,80/20,10,100
mushroom,"('Therm', 'N=', 5)",94.06062471149409,94.70769230769233,80/20,10,100
mushroom,"('Therm', 'N=', 5)",96.30712417294968,97.53846153846152,80/20,10,100
mushroom,"('Therm', 'N=', 5)",96.07631943375904,95.50769230769232,80/20,10,100
