Dataset,Method,Avg Training Accuracy,Avg Testing Accuracy,Training/Test,Rules,Training loops
breast_cancer,"('Classical', 'N=', 0)",91.86813186813188,88.59649122807018,80/20,10,100
breast_cancer,"('Classical', 'N=', 0)",92.3076923076923,90.35087719298244,80/20,10,100
breast_cancer,"('Classical', 'N=', 0)",90.32967032967034,95.6140350877193,80/20,10,100
breast_cancer,"('Classical', 'N=', 0)",92.3076923076923,91.2280701754386,80/20,10,100
breast_cancer,"('Classical', 'N=', 0)",91.42857142857144,90.35087719298244,80/20,10,100
breast_cancer,"('Classical', 'N=', 0)",90.54945054945055,90.35087719298244,80/20,10,100
breast_cancer,"('Classical', 'N=', 0)",91.2087912087912,95.6140350877193,80/20,10,100
breast_cancer,"('Classical', 'N=', 0)",92.74725274725274,92.10526315789474,80/20,10,100
breast_cancer,"('Classical', 'N=', 0)",91.64835164835164,91.2280701754386,80/20,10,100
breast_cancer,"('Classical', 'N=', 0)",92.96703296703296,90.35087719298244,80/20,10,100
breast_cancer,"('Therm', 'N=', 1)",38.02197802197802,36.8421052631579,80/20,10,100
breast_cancer,"('Therm', 'N=', 1)",38.46153846153846,31.57894736842105,80/20,10,100
breast_cancer,"('Therm', 'N=', 1)",38.24175824175824,35.96491228070175,80/20,10,100
breast_cancer,"('Therm', 'N=', 1)",37.362637362637365,35.08771929824562,80/20,10,100
breast_cancer,"('Therm', 'N=', 1)",36.7032967032967,41.2280701754386,80/20,10,100
breast_cancer,"('Therm', 'N=', 1)",38.46153846153846,32.45614035087719,80/20,10,100
breast_cancer,"('Therm', 'N=', 1)",38.46153846153846,35.08771929824562,80/20,10,100
breast_cancer,"('Therm', 'N=', 1)",38.68131868131868,32.45614035087719,80/20,10,100
breast_cancer,"('Therm', 'N=', 1)",36.92307692307692,40.35087719298246,80/20,10,100
breast_cancer,"('Therm', 'N=', 1)",36.26373626373626,42.98245614035088,80/20,10,100
breast_cancer,"('Therm', 'N=', 2)",92.3076923076923,89.47368421052632,80/20,10,100
breast_cancer,"('Therm', 'N=', 2)",90.32967032967034,90.35087719298244,80/20,10,100
breast_cancer,"('Therm', 'N=', 2)",92.96703296703296,92.98245614035088,80/20,10,100
breast_cancer,"('Therm', 'N=', 2)",89.89010989010988,86.84210526315789,80/20,10,100
breast_cancer,"('Therm', 'N=', 2)",91.2087912087912,92.10526315789474,80/20,10,100
breast_cancer,"('Therm', 'N=', 2)",91.86813186813188,96.49122807017544,80/20,10,100
breast_cancer,"('Therm', 'N=', 2)",89.89010989010988,85.96491228070175,80/20,10,100
breast_cancer,"('Therm', 'N=', 2)",86.81318681318682,92.10526315789474,80/20,10,100
breast_cancer,"('Therm', 'N=', 2)",89.23076923076923,95.6140350877193,80/20,10,100
breast_cancer,"('Therm', 'N=', 2)",90.76923076923076,90.35087719298244,80/20,10,100
breast_cancer,"('Therm', 'N=', 3)",91.86813186813188,90.35087719298244,80/20,10,100
breast_cancer,"('Therm', 'N=', 3)",92.52747252747253,89.47368421052632,80/20,10,100
breast_cancer,"('Therm', 'N=', 3)",92.3076923076923,92.10526315789474,80/20,10,100
breast_cancer,"('Therm', 'N=', 3)",93.62637362637362,88.59649122807018,80/20,10,100
breast_cancer,"('Therm', 'N=', 3)",92.96703296703296,88.59649122807018,80/20,10,100
breast_cancer,"('Therm', 'N=', 3)",90.76923076923076,94.73684210526316,80/20,10,100
breast_cancer,"('Therm', 'N=', 3)",92.52747252747253,86.84210526315789,80/20,10,100
breast_cancer,"('Therm', 'N=', 3)",90.54945054945055,91.2280701754386,80/20,10,100
breast_cancer,"('Therm', 'N=', 3)",91.86813186813188,91.2280701754386,80/20,10,100
breast_cancer,"('Therm', 'N=', 3)",91.86813186813188,89.47368421052632,80/20,10,100
breast_cancer,"('Therm', 'N=', 4)",91.2087912087912,86.84210526315789,80/20,10,100
breast_cancer,"('Therm', 'N=', 4)",91.86813186813188,90.35087719298244,80/20,10,100
breast_cancer,"('Therm', 'N=', 4)",89.67032967032966,91.2280701754386,80/20,10,100
breast_cancer,"('Therm', 'N=', 4)",92.3076923076923,85.08771929824562,80/20,10,100
breast_cancer,"('Therm', 'N=', 4)",90.10989010989012,87.71929824561404,80/20,10,100
breast_cancer,"('Therm', 'N=', 4)",92.3076923076923,95.6140350877193,80/20,10,100
breast_cancer,"('Therm', 'N=', 4)",91.42857142857144,89.47368421052632,80/20,10,100
breast_cancer,"('Therm', 'N=', 4)",93.4065934065934,91.2280701754386,80/20,10,100
breast_cancer,"('Therm', 'N=', 4)",92.96703296703296,92.10526315789474,80/20,10,100
breast_cancer,"('Therm', 'N=', 4)",91.2087912087912,92.98245614035088,80/20,10,100
breast_cancer,"('Therm', 'N=', 5)",88.79120879120879,90.35087719298244,80/20,10,100
breast_cancer,"('Therm', 'N=', 5)",90.54945054945055,92.10526315789474,80/20,10,100
breast_cancer,"('Therm', 'N=', 5)",90.989010989011,94.73684210526316,80/20,10,100
breast_cancer,"('Therm', 'N=', 5)",90.54945054945055,89.47368421052632,80/20,10,100
breast_cancer,"('Therm', 'N=', 5)",92.52747252747253,92.98245614035088,80/20,10,100
breast_cancer,"('Therm', 'N=', 5)",93.4065934065934,87.71929824561404,80/20,10,100
breast_cancer,"('Therm', 'N=', 5)",91.42857142857144,90.35087719298244,80/20,10,100
breast_cancer,"('Therm', 'N=', 5)",85.93406593406593,85.08771929824562,80/20,10,100
breast_cancer,"('Therm', 'N=', 5)",94.28571428571428,91.2280701754386,80/20,10,100
breast_cancer,"('Therm', 'N=', 5)",92.52747252747253,90.35087719298245,80/20,10,100
