Dataset,Method,Avg Training Accuracy,Avg Testing Accuracy,Training/Test,Rules,Training loops
income,"('Classical', 'N=', 0)",76.2035164947662,76.01596888115468,80/20,10,100
income,"('Classical', 'N=', 0)",77.80308653034065,77.78687685535878,80/20,10,100
income,"('Classical', 'N=', 0)",76.24190617561999,75.51438222950148,80/20,10,100
income,"('Classical', 'N=', 0)",76.31612622527065,76.1080970416624,80/20,10,100
income,"('Classical', 'N=', 0)",79.3642668850613,79.24045449892517,80/20,10,100
income,"('Classical', 'N=', 0)",78.90359071481586,79.37352850854745,80/20,10,100
income,"('Classical', 'N=', 0)",76.25470273590459,76.60968369331559,80/20,10,100
income,"('Classical', 'N=', 0)",76.59509123947483,76.6403930801515,80/20,10,100
income,"('Classical', 'N=', 0)",78.24328820413074,78.08373426143925,80/20,10,100
income,"('Classical', 'N=', 0)",76.18048268625394,76.83488586344559,80/20,10,100
income,"('Therm', 'N=', 1)",24.021702966242675,23.5540997031426,80/20,10,100
income,"('Therm', 'N=', 1)",23.89629667545364,24.05568635479578,80/20,10,100
income,"('Therm', 'N=', 1)",23.84255112225833,24.270652062647148,80/20,10,100
income,"('Therm', 'N=', 1)",23.86302561871369,24.18876036441806,80/20,10,100
income,"('Therm', 'N=', 1)",23.85790699459985,24.20923328897533,80/20,10,100
income,"('Therm', 'N=', 1)",24.011465718015,23.59504555225714,80/20,10,100
income,"('Therm', 'N=', 1)",23.91677117190899,23.97379465656669,80/20,10,100
income,"('Therm', 'N=', 1)",23.952601540705857,23.83048418466577,80/20,10,100
income,"('Therm', 'N=', 1)",24.00890640595808,23.60528201453577,80/20,10,100
income,"('Therm', 'N=', 1)",24.02938090241344,23.523390316306685,80/20,10,100
income,"('Therm', 'N=', 2)",76.86637831750825,77.34670897737742,80/20,10,100
income,"('Therm', 'N=', 2)",75.83497555856985,76.13880642849831,80/20,10,100
income,"('Therm', 'N=', 2)",76.06275433163566,75.64745623912376,80/20,10,100
income,"('Therm', 'N=', 2)",76.22399099122156,76.4151909100215,80/20,10,100
income,"('Therm', 'N=', 2)",76.25470273590459,76.12856996621967,80/20,10,100
income,"('Therm', 'N=', 2)",76.98666598418345,76.78370355205242,80/20,10,100
income,"('Therm', 'N=', 2)",76.0013308422696,76.69157539154469,80/20,10,100
income,"('Therm', 'N=', 2)",76.44153251605968,75.85218548469649,80/20,10,100
income,"('Therm', 'N=', 2)",74.79845417551762,74.44979015252329,80/20,10,100
income,"('Therm', 'N=', 2)",76.19839787065237,76.26164397584195,80/20,10,100
income,"('Therm', 'N=', 3)",76.15233025362782,75.74982086191012,80/20,10,100
income,"('Therm', 'N=', 3)",77.03017428915108,76.53802845736513,80/20,10,100
income,"('Therm', 'N=', 3)",76.11905919688787,75.92384072064695,80/20,10,100
income,"('Therm', 'N=', 3)",77.17093645228162,77.32623605282015,80/20,10,100
income,"('Therm', 'N=', 3)",77.44222353031505,76.7222847783806,80/20,10,100
income,"('Therm', 'N=', 3)",79.90172241701431,79.3325826594329,80/20,10,100
income,"('Therm', 'N=', 3)",81.9645279348911,82.6696693622684,80/20,10,100
income,"('Therm', 'N=', 3)",75.93990735290355,76.71204831610196,80/20,10,100
income,"('Therm', 'N=', 3)",75.95526322524505,76.57897430647968,80/20,10,100
income,"('Therm', 'N=', 3)",78.17418677859392,77.95066025181697,80/20,10,100
income,"('Therm', 'N=', 4)",76.5643794947918,76.27188043812059,80/20,10,100
income,"('Therm', 'N=', 4)",76.38266833875055,75.86242194697513,80/20,10,100
income,"('Therm', 'N=', 4)",79.01108182120646,79.27116388576108,80/20,10,100
income,"('Therm', 'N=', 4)",79.4973511120211,80.24362780223154,80/20,10,100
income,"('Therm', 'N=', 4)",76.16000818979859,75.72934793735286,80/20,10,100
income,"('Therm', 'N=', 4)",80.46733038159343,80.83734261439247,80/20,10,100
income,"('Therm', 'N=', 4)",76.62324367210094,76.90654109939605,80/20,10,100
income,"('Therm', 'N=', 4)",76.2572620479615,75.4631999181083,80/20,10,100
income,"('Therm', 'N=', 4)",77.19908888490774,77.54120176067151,80/20,10,100
income,"('Therm', 'N=', 4)",76.4031428352059,76.15927935305558,80/20,10,100
income,"('Therm', 'N=', 5)",77.88242520410513,77.40812775104924,80/20,10,100
income,"('Therm', 'N=', 5)",76.48504082102731,76.09786057938376,80/20,10,100
income,"('Therm', 'N=', 5)",79.42824968648428,79.16879926297472,80/20,10,100
income,"('Therm', 'N=', 5)",76.10114401248944,76.0773876548265,80/20,10,100
income,"('Therm', 'N=', 5)",76.93803905510198,77.22387143003378,80/20,10,100
income,"('Therm', 'N=', 5)",76.08578814014793,76.01596888115468,80/20,10,100
income,"('Therm', 'N=', 5)",80.76932920430988,80.15149964172382,80/20,10,100
income,"('Therm', 'N=', 5)",78.92918383538505,79.28140034803971,80/20,10,100
income,"('Therm', 'N=', 5)",80.36751721137358,80.87828846350702,80/20,10,100
income,"('Therm', 'N=', 5)",76.06019501957874,76.12856996621967,80/20,10,100
