Dataset,Method,Avg Training Accuracy,Avg Testing Accuracy,Training/Test,Rules,Training loops
mushroom,"('Classical', 'N=', 0)",94.04523772888136,93.78461538461538,80/20,10,100
mushroom,"('Classical', 'N=', 0)",94.15294660717034,93.35384615384616,80/20,10,100
mushroom,"('Classical', 'N=', 0)",94.22988152023387,94.03076923076924,80/20,10,100
mushroom,"('Classical', 'N=', 0)",93.56824126788736,92.73846153846154,80/20,10,100
mushroom,"('Classical', 'N=', 0)",96.59947684259116,96.86153846153846,80/20,10,100
mushroom,"('Classical', 'N=', 0)",88.75211571010925,88.36923076923077,80/20,10,100
mushroom,"('Classical', 'N=', 0)",97.5996307124173,96.3076923076923,80/20,10,100
mushroom,"('Classical', 'N=', 0)",94.12217264194491,93.96923076923076,80/20,10,100
mushroom,"('Classical', 'N=', 0)",97.43037390367748,96.98461538461538,80/20,10,100
mushroom,"('Classical', 'N=', 0)",94.2452685028466,93.96923076923076,80/20,10,100
mushroom,"('Therm', 'N=', 1)",48.0073857516541,48.98461538461538,80/20,10,100
mushroom,"('Therm', 'N=', 1)",48.22280350823203,48.12307692307692,80/20,10,100
mushroom,"('Therm', 'N=', 1)",48.23819049084474,48.06153846153846,80/20,10,100
mushroom,"('Therm', 'N=', 1)",47.89967687336513,49.41538461538462,80/20,10,100
mushroom,"('Therm', 'N=', 1)",48.69979996922604,46.215384615384615,80/20,10,100
mushroom,"('Therm', 'N=', 1)",48.42283428219727,47.323076923076925,80/20,10,100
mushroom,"('Therm', 'N=', 1)",48.14586859516849,48.43076923076923,80/20,10,100
mushroom,"('Therm', 'N=', 1)",48.74596091706417,46.03076923076923,80/20,10,100
mushroom,"('Therm', 'N=', 1)",48.03815971687952,48.86153846153846,80/20,10,100
mushroom,"('Therm', 'N=', 1)",47.82274196030159,49.72307692307693,80/20,10,100
mushroom,"('Therm', 'N=', 2)",91.13709801507925,90.8923076923077,80/20,10,100
mushroom,"('Therm', 'N=', 2)",89.01369441452532,89.1076923076923,80/20,10,100
mushroom,"('Therm', 'N=', 2)",90.32158793660564,90.70769230769233,80/20,10,100
mushroom,"('Therm', 'N=', 2)",90.49084474534544,90.70769230769233,80/20,10,100
mushroom,"('Therm', 'N=', 2)",92.89121403292816,92.92307692307692,80/20,10,100
mushroom,"('Therm', 'N=', 2)",87.96737959686105,85.35384615384615,80/20,10,100
mushroom,"('Therm', 'N=', 2)",93.64517618095093,94.4,80/20,10,100
mushroom,"('Therm', 'N=', 2)",89.4753038929066,89.53846153846153,80/20,10,100
mushroom,"('Therm', 'N=', 2)",93.55285428527466,93.29230769230767,80/20,10,100
mushroom,"('Therm', 'N=', 2)",92.22957378058165,92.06153846153846,80/20,10,100
mushroom,"('Therm', 'N=', 3)",94.66071703338976,95.87692307692308,80/20,10,100
mushroom,"('Therm', 'N=', 3)",93.22972765040775,93.29230769230767,80/20,10,100
mushroom,"('Therm', 'N=', 3)",96.1686413294353,95.81538461538462,80/20,10,100
mushroom,"('Therm', 'N=', 3)",95.3992921987998,95.2,80/20,10,100
mushroom,"('Therm', 'N=', 3)",88.6751807970457,88.61538461538461,80/20,10,100
mushroom,"('Therm', 'N=', 3)",95.30697030312356,94.64615384615384,80/20,10,100
mushroom,"('Therm', 'N=', 3)",90.82935836282503,90.95384615384616,80/20,10,100
mushroom,"('Therm', 'N=', 3)",93.59901523311278,92.6153846153846,80/20,10,100
mushroom,"('Therm', 'N=', 3)",94.32220341591014,92.86153846153846,80/20,10,100
mushroom,"('Therm', 'N=', 3)",96.64563779042928,97.1076923076923,80/20,10,100
mushroom,"('Therm', 'N=', 4)",96.9687644252962,96.6153846153846,80/20,10,100
mushroom,"('Therm', 'N=', 4)",89.98307431912602,89.35384615384615,80/20,10,100
mushroom,"('Therm', 'N=', 4)",95.78396676411757,95.63076923076925,80/20,10,100
mushroom,"('Therm', 'N=', 4)",88.79827665794738,88.43076923076923,80/20,10,100
mushroom,"('Therm', 'N=', 4)",89.12140329281428,86.8923076923077,80/20,10,100
mushroom,"('Therm', 'N=', 4)",88.82905062317279,88.06153846153846,80/20,10,100
mushroom,"('Therm', 'N=', 4)",97.16879519926142,97.53846153846152,80/20,10,100
mushroom,"('Therm', 'N=', 4)",97.61501769503,97.23076923076924,80/20,10,100
mushroom,"('Therm', 'N=', 4)",90.4292968148946,90.8923076923077,80/20,10,100
mushroom,"('Therm', 'N=', 4)",94.82997384212956,95.56923076923076,80/20,10,100
mushroom,"('Therm', 'N=', 5)",93.98368979843052,94.03076923076924,80/20,10,100
mushroom,"('Therm', 'N=', 5)",95.5070010770888,95.81538461538462,80/20,10,100
mushroom,"('Therm', 'N=', 5)",97.3072780427758,97.47692307692309,80/20,10,100
mushroom,"('Therm', 'N=', 5)",96.59947684259116,97.35384615384616,80/20,10,100
mushroom,"('Therm', 'N=', 5)",88.58285890136945,89.04615384615384,80/20,10,100
mushroom,"('Therm', 'N=', 5)",93.1374057547315,93.47692307692309,80/20,10,100
mushroom,"('Therm', 'N=', 5)",92.75273118941377,91.56923076923076,80/20,10,100
mushroom,"('Therm', 'N=', 5)",97.43037390367748,96.98461538461538,80/20,10,100
mushroom,"('Therm', 'N=', 5)",88.73672872749654,89.16923076923077,80/20,10,100
mushroom,"('Therm', 'N=', 5)",97.19956916448685,97.41538461538461,80/20,10,100
