Dataset,Method,Avg Training Accuracy,Avg Testing Accuracy,Training/Test,Rules,Training loops
spam,"('Classical', 'N=', 0)",86.4945652173913,86.31921824104235,80/20,10,100
spam,"('Classical', 'N=', 0)",82.90760869565217,80.56460369163952,80/20,10,100
spam,"('Classical', 'N=', 0)",86.38586956521739,86.10206297502714,80/20,10,100
spam,"('Classical', 'N=', 0)",80.78804347826087,81.32464712269272,80/20,10,100
spam,"('Classical', 'N=', 0)",84.97282608695652,86.53637350705755,80/20,10,100
spam,"('Classical', 'N=', 0)",84.23913043478261,85.88490770901194,80/20,10,100
spam,"('Classical', 'N=', 0)",83.28804347826087,83.06188925081433,80/20,10,100
spam,"('Classical', 'N=', 0)",86.38586956521739,86.10206297502714,80/20,10,100
spam,"('Classical', 'N=', 0)",85.02717391304348,81.21606948968513,80/20,10,100
spam,"('Classical', 'N=', 0)",84.83695652173913,85.12486427795874,80/20,10,100
spam,"('Therm', 'N=', 1)",39.21195652173913,40.17372421281216,80/20,10,100
spam,"('Therm', 'N=', 1)",38.83152173913044,41.69381107491856,80/20,10,100
spam,"('Therm', 'N=', 1)",39.72826086956522,38.21932681867536,80/20,10,100
spam,"('Therm', 'N=', 1)",39.83695652173913,37.67643865363735,80/20,10,100
spam,"('Therm', 'N=', 1)",39.42934782608695,39.30510314875136,80/20,10,100
spam,"('Therm', 'N=', 1)",39.619565217391305,38.54505971769815,80/20,10,100
spam,"('Therm', 'N=', 1)",39.619565217391305,38.54505971769815,80/20,10,100
spam,"('Therm', 'N=', 1)",38.96739130434783,41.15092290988056,80/20,10,100
spam,"('Therm', 'N=', 1)",39.72826086956522,38.11074918566775,80/20,10,100
spam,"('Therm', 'N=', 1)",39.42934782608695,39.30510314875136,80/20,10,100
spam,"('Therm', 'N=', 2)",64.02173913043478,67.42671009771988,80/20,10,100
spam,"('Therm', 'N=', 2)",62.79891304347826,63.192182410423456,80/20,10,100
spam,"('Therm', 'N=', 2)",59.86413043478261,59.82627578718784,80/20,10,100
spam,"('Therm', 'N=', 2)",65.40760869565217,66.44951140065146,80/20,10,100
spam,"('Therm', 'N=', 2)",60.57065217391305,60.69489685124864,80/20,10,100
spam,"('Therm', 'N=', 2)",55.92391304347826,57.54614549402823,80/20,10,100
spam,"('Therm', 'N=', 2)",58.61413043478261,64.38653637350706,80/20,10,100
spam,"('Therm', 'N=', 2)",69.72826086956522,73.39847991313789,80/20,10,100
spam,"('Therm', 'N=', 2)",64.45652173913044,62.64929424538545,80/20,10,100
spam,"('Therm', 'N=', 2)",56.35869565217392,57.76330076004343,80/20,10,100
spam,"('Therm', 'N=', 3)",88.04347826086956,86.97068403908794,80/20,10,100
spam,"('Therm', 'N=', 3)",85.32608695652173,86.97068403908794,80/20,10,100
spam,"('Therm', 'N=', 3)",84.53804347826087,83.17046688382193,80/20,10,100
spam,"('Therm', 'N=', 3)",85.97826086956522,87.18783930510315,80/20,10,100
spam,"('Therm', 'N=', 3)",87.09239130434783,85.01628664495114,80/20,10,100
spam,"('Therm', 'N=', 3)",87.33695652173913,88.81650380021715,80/20,10,100
spam,"('Therm', 'N=', 3)",82.20108695652173,83.06188925081433,80/20,10,100
spam,"('Therm', 'N=', 3)",86.16847826086956,85.88490770901194,80/20,10,100
spam,"('Therm', 'N=', 3)",87.36413043478261,88.16503800217156,80/20,10,100
spam,"('Therm', 'N=', 3)",86.54891304347827,87.94788273615636,80/20,10,100
spam,"('Therm', 'N=', 4)",85.97826086956522,84.36482084690553,80/20,10,100
spam,"('Therm', 'N=', 4)",88.09782608695652,88.16503800217156,80/20,10,100
spam,"('Therm', 'N=', 4)",86.9836956521739,87.73072747014115,80/20,10,100
spam,"('Therm', 'N=', 4)",85.05434782608695,83.82193268186754,80/20,10,100
spam,"('Therm', 'N=', 4)",83.45108695652173,80.99891422366993,80/20,10,100
spam,"('Therm', 'N=', 4)",87.41847826086956,87.94788273615636,80/20,10,100
spam,"('Therm', 'N=', 4)",83.75,82.41042345276873,80/20,10,100
spam,"('Therm', 'N=', 4)",86.95652173913044,90.33659066232356,80/20,10,100
spam,"('Therm', 'N=', 4)",83.26086956521739,82.84473398479913,80/20,10,100
spam,"('Therm', 'N=', 4)",84.83695652173913,85.55917480998914,80/20,10,100
spam,"('Therm', 'N=', 5)",87.09239130434783,85.66775244299674,80/20,10,100
spam,"('Therm', 'N=', 5)",86.46739130434783,86.21064060803475,80/20,10,100
spam,"('Therm', 'N=', 5)",81.08695652173913,82.08469055374593,80/20,10,100
spam,"('Therm', 'N=', 5)",87.30978260869566,86.42779587404995,80/20,10,100
spam,"('Therm', 'N=', 5)",82.98913043478261,82.19326818675353,80/20,10,100
spam,"('Therm', 'N=', 5)",86.16847826086956,85.99348534201954,80/20,10,100
spam,"('Therm', 'N=', 5)",84.10326086956522,84.69055374592834,80/20,10,100
spam,"('Therm', 'N=', 5)",87.8804347826087,88.81650380021715,80/20,10,100
spam,"('Therm', 'N=', 5)",86.19565217391305,86.31921824104235,80/20,10,100
spam,"('Therm', 'N=', 5)",86.82065217391305,87.07926167209556,80/20,10,100
