Dataset,Accuracy,Classical mean,Classical std,Thermo (N=1) mean,Thermo (N=1) std,Thermo (N=2) mean,Thermo (N=2) std,Thermo (N=3) mean,Thermo (N=3) std,Thermo (N=4) mean,Thermo (N=4) std,Thermo (N=5) mean,Thermo (N=5) std,Thermo (N=6) mean,Thermo (N=6) std,Thermo (N=7) mean,Thermo (N=7) std,Thermo (N=8) mean,Thermo (N=8) std,Thermo (N=9) mean,Thermo (N=9) std,Thermo (N=10) mean,Thermo (N=10) std
tictactoe,testing,67.8125,3.6647985560996577,57.91666666666666,2.440456026500774,67.39583333333334,3.4390779206706608,67.96875,3.0493347344184527,67.1875,5.630998173689876,69.0625,2.680591536891495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tictactoe,training,68.3289817232376,2.4089218033657525,59.15143603133159,2.4271297922048944,66.17493472584856,1.2528556777034,66.6579634464752,2.384428210304101,67.04960835509138,3.360727938716515,68.44647519582244,2.748102931608727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breast_cancer,testing,91.57894736842104,2.309756451243458,36.40350877192982,3.950074878978449,91.2280701754386,3.384747632394806,90.26315789473684,2.205616627560951,90.26315789473684,3.106854142488772,90.43859649122808,2.694187017494607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breast_cancer,training,91.73626373626374,0.8803410335999886,37.75824175824176,0.8717640897080472,90.52747252747253,1.756562079249569,92.08791208791207,0.9324485026635764,91.64835164835164,1.1767310186233677,91.09890109890112,2.410356611921187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
income,testing,77.22080049135019,1.3432628365239965,23.88064284983109,0.2959913381518227,76.17156310778995,0.7772943942533557,77.55041457672229,2.077351526547225,77.42860067560652,1.9826054087573568,77.8431773978913,1.8673073675635403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
income,training,77.21060578916388,1.2484828289196708,23.940060911626954,0.0740035160444604,76.16691833235225,0.6027480857764125,77.58503314309114,1.970847839643745,77.45655567783379,1.5841258183340448,77.90469121900034,1.842587395194376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mushroom,testing,94.03692307692307,2.4982644863558727,48.11692307692307,1.2593101019760211,90.89846153846152,2.567210424227369,93.69846153846154,2.56929934910262,92.62153846153844,4.2682886463361145,94.23384615384614,3.345294515848288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mushroom,training,94.47453454377596,2.5190458611122484,48.22434220649331,0.3148759679506147,91.07247268810588,1.9651184244605544,93.88367441144791,2.4705918407005965,92.952761963379,3.819692530992783,94.1237113402062,3.35270271845618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spam,testing,84.22366992399566,2.416540165948412,39.27252985884908,1.3445420619756112,63.333333333333336,4.866531392103947,86.31921824104235,2.008604694247066,85.41802388707927,3.0250775601354905,85.54831704668838,2.082534222781498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spam,training,84.53260869565217,1.8119021477399544,39.44021739130435,0.3389666549894066,61.774456521739125,4.3256539501817945,86.05978260869566,1.7105900919004178,85.5788043478261,1.7585089032478478,85.61141304347827,2.1780324044661157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
