Dataset,Method,Avg Training Accuracy,Avg Testing Accuracy,Training/Test,Rules,Training loops
tictactoe,"('Classical', 'N=', 0)",70.6266318537859,66.14583333333333,80/20,10,100
tictactoe,"('Classical', 'N=', 0)",70.23498694516971,66.14583333333333,80/20,10,100
tictactoe,"('Classical', 'N=', 0)",63.054830287206265,74.47916666666667,80/20,10,100
tictactoe,"('Classical', 'N=', 0)",68.9295039164491,68.75,80/20,10,100
tictactoe,"('Classical', 'N=', 0)",66.71018276762402,65.625,80/20,10,100
tictactoe,"('Classical', 'N=', 0)",70.36553524804178,68.22916666666667,80/20,10,100
tictactoe,"('Classical', 'N=', 0)",66.97127937336815,68.75,80/20,10,100
tictactoe,"('Classical', 'N=', 0)",69.06005221932115,71.875,80/20,10,100
tictactoe,"('Classical', 'N=', 0)",66.97127937336815,60.9375,80/20,10,100
tictactoe,"('Classical', 'N=', 0)",70.36553524804178,67.1875,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",57.04960835509139,60.41666666666666,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",57.702349869451695,59.375,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",58.35509138381201,55.72916666666666,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",59.92167101827676,60.41666666666666,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",56.91906005221932,55.208333333333336,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",60.44386422976501,55.72916666666666,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",59.530026109660575,56.770833333333336,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",56.527415143603136,61.458333333333336,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",60.44386422976501,55.208333333333336,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",64.62140992167102,58.85416666666666,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",67.49347258485639,66.14583333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",66.0574412532637,64.0625,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",67.23237597911228,61.458333333333336,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",67.23237597911228,70.3125,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",66.71018276762402,68.22916666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",65.0130548302872,68.22916666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",64.22976501305483,70.83333333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",66.44908616187989,64.0625,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",64.22976501305483,68.22916666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",67.1018276762402,72.39583333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",65.0130548302872,66.66666666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",64.62140992167102,68.75,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",65.27415143603133,65.625,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",65.66579634464752,65.10416666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",66.44908616187989,67.70833333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",71.40992167101828,67.1875,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",65.40469973890339,67.70833333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",67.1018276762402,76.04166666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",70.49608355091384,68.22916666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",65.14360313315927,66.66666666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",65.53524804177546,65.10416666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",66.84073107049609,59.375,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",65.66579634464752,70.83333333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",65.79634464751958,64.58333333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",59.39947780678851,59.375,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",69.5822454308094,71.875,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",68.53785900783289,68.75,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",70.75718015665797,77.08333333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",70.88772845953002,70.3125,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",67.49347258485639,64.58333333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 5)",69.32114882506528,72.39583333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 5)",70.10443864229765,65.625,80/20,10,100
tictactoe,"('Therm', 'N=', 5)",65.79634464751958,71.875,80/20,10,100
tictactoe,"('Therm', 'N=', 5)",68.40731070496084,73.4375,80/20,10,100
tictactoe,"('Therm', 'N=', 5)",64.49086161879896,68.75,80/20,10,100
tictactoe,"('Therm', 'N=', 5)",70.88772845953002,68.22916666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 5)",68.66840731070496,67.1875,80/20,10,100
tictactoe,"('Therm', 'N=', 5)",68.01566579634465,67.70833333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 5)",65.27415143603133,66.14583333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 5)",73.49869451697128,69.27083333333333,80/20,10,100
