Dataset,Method,Avg Training Accuracy,Avg Testing Accuracy,Training/Test,Rules,Training loops
spam,"('Classical', 'N=', 0)",84.70108695652173,84.69055374592834,80/20,10,100
spam,"('Classical', 'N=', 0)",88.15217391304348,88.59934853420195,80/20,10,100
spam,"('Classical', 'N=', 0)",81.3586956521739,80.78175895765472,80/20,10,100
spam,"('Classical', 'N=', 0)",86.92934782608695,88.49077090119435,80/20,10,100
spam,"('Classical', 'N=', 0)",82.77173913043478,80.45602605863192,80/20,10,100
spam,"('Classical', 'N=', 0)",81.95652173913044,79.80456026058631,80/20,10,100
spam,"('Classical', 'N=', 0)",84.97282608695652,85.77633007600434,80/20,10,100
spam,"('Classical', 'N=', 0)",85.8695652173913,85.23344191096633,80/20,10,100
spam,"('Classical', 'N=', 0)",80.05434782608695,80.67318132464712,80/20,10,100
spam,"('Classical', 'N=', 0)",79.375,81.97611292073833,80/20,10,100
spam,"('Therm', 'N=', 1)",39.53804347826087,38.87079261672096,80/20,10,100
spam,"('Therm', 'N=', 1)",39.07608695652174,40.71661237785016,80/20,10,100
spam,"('Therm', 'N=', 1)",38.85869565217392,41.585233441910965,80/20,10,100
spam,"('Therm', 'N=', 1)",39.42934782608695,39.30510314875136,80/20,10,100
spam,"('Therm', 'N=', 1)",39.266304347826086,39.95656894679696,80/20,10,100
spam,"('Therm', 'N=', 1)",39.755434782608695,38.00217155266015,80/20,10,100
spam,"('Therm', 'N=', 1)",39.130434782608695,40.49945711183496,80/20,10,100
spam,"('Therm', 'N=', 1)",39.619565217391305,38.54505971769815,80/20,10,100
spam,"('Therm', 'N=', 1)",38.53260869565217,42.88816503800217,80/20,10,100
spam,"('Therm', 'N=', 1)",39.59239130434783,38.65363735070576,80/20,10,100
spam,"('Therm', 'N=', 2)",58.26086956521739,57.87187839305104,80/20,10,100
spam,"('Therm', 'N=', 2)",56.65760869565217,53.96308360477742,80/20,10,100
spam,"('Therm', 'N=', 2)",63.39673913043478,61.34636264929424,80/20,10,100
spam,"('Therm', 'N=', 2)",64.40217391304348,67.53528773072748,80/20,10,100
spam,"('Therm', 'N=', 2)",59.56521739130435,61.56351791530945,80/20,10,100
spam,"('Therm', 'N=', 2)",52.98913043478261,54.18023887079261,80/20,10,100
spam,"('Therm', 'N=', 2)",58.125,59.28338762214984,80/20,10,100
spam,"('Therm', 'N=', 2)",53.20652173913044,56.24321389793703,80/20,10,100
spam,"('Therm', 'N=', 2)",56.03260869565217,58.19761129207383,80/20,10,100
spam,"('Therm', 'N=', 2)",52.60869565217392,52.66015200868621,80/20,10,100
spam,"('Therm', 'N=', 3)",83.0163043478261,81.43322475570032,80/20,10,100
spam,"('Therm', 'N=', 3)",84.83695652173913,85.23344191096633,80/20,10,100
spam,"('Therm', 'N=', 3)",88.125,85.88490770901194,80/20,10,100
spam,"('Therm', 'N=', 3)",87.85326086956522,87.51357220412595,80/20,10,100
spam,"('Therm', 'N=', 3)",82.22826086956522,82.73615635179154,80/20,10,100
spam,"('Therm', 'N=', 3)",84.6195652173913,85.99348534201954,80/20,10,100
spam,"('Therm', 'N=', 3)",79.4836956521739,78.61020629750271,80/20,10,100
spam,"('Therm', 'N=', 3)",82.41847826086956,81.43322475570032,80/20,10,100
spam,"('Therm', 'N=', 3)",83.04347826086956,84.03908794788273,80/20,10,100
spam,"('Therm', 'N=', 3)",82.96195652173913,82.95331161780673,80/20,10,100
spam,"('Therm', 'N=', 4)",79.45652173913044,76.54723127035831,80/20,10,100
spam,"('Therm', 'N=', 4)",83.72282608695652,82.08469055374593,80/20,10,100
spam,"('Therm', 'N=', 4)",83.55978260869566,84.69055374592834,80/20,10,100
spam,"('Therm', 'N=', 4)",79.53804347826087,81.32464712269272,80/20,10,100
spam,"('Therm', 'N=', 4)",81.6304347826087,81.43322475570032,80/20,10,100
spam,"('Therm', 'N=', 4)",87.7445652173913,85.99348534201954,80/20,10,100
spam,"('Therm', 'N=', 4)",87.5,90.33659066232356,80/20,10,100
spam,"('Therm', 'N=', 4)",83.72282608695652,82.62757871878394,80/20,10,100
spam,"('Therm', 'N=', 4)",86.65760869565217,88.49077090119435,80/20,10,100
spam,"('Therm', 'N=', 4)",88.69565217391305,86.64495114006515,80/20,10,100
spam,"('Therm', 'N=', 5)",84.21195652173913,85.34201954397395,80/20,10,100
spam,"('Therm', 'N=', 5)",83.58695652173913,82.51900108577632,80/20,10,100
spam,"('Therm', 'N=', 5)",86.7663043478261,86.53637350705755,80/20,10,100
spam,"('Therm', 'N=', 5)",86.65760869565217,86.64495114006515,80/20,10,100
spam,"('Therm', 'N=', 5)",84.72826086956522,84.79913137893594,80/20,10,100
spam,"('Therm', 'N=', 5)",84.51086956521739,84.69055374592834,80/20,10,100
spam,"('Therm', 'N=', 5)",73.34239130434783,75.57003257328991,80/20,10,100
spam,"('Therm', 'N=', 5)",86.46739130434783,87.73072747014115,80/20,10,100
spam,"('Therm', 'N=', 5)",86.30434782608695,86.64495114006515,80/20,10,100
spam,"('Therm', 'N=', 5)",87.22826086956522,88.59934853420195,80/20,10,100
