Dataset,Accuracy,Classical mean,Classical std,Thermo (N=1) mean,Thermo (N=1) std,Thermo (N=2) mean,Thermo (N=2) std,Thermo (N=3) mean,Thermo (N=3) std,Thermo (N=4) mean,Thermo (N=4) std,Thermo (N=5) mean,Thermo (N=5) std,Thermo (N=6) mean,Thermo (N=6) std,Thermo (N=7) mean,Thermo (N=7) std,Thermo (N=8) mean,Thermo (N=8) std,Thermo (N=9) mean,Thermo (N=9) std,Thermo (N=10) mean,Thermo (N=10) std
tictactoe,testing,66.40625,4.013759729755867,59.63541666666666,3.3954179193763814,66.30208333333334,4.295252569680357,66.66666666666666,2.083333333333338,69.32291666666666,5.187748673944452,66.40625,3.7897361029415055,66.71875,3.6454199501092233,66.61458333333334,3.686528826913833,67.76041666666666,3.595468926001104,67.91666666666666,2.2260167256700805,69.47916666666666,3.8210224013159135
tictactoe,training,68.00261096605745,3.221631884465729,59.73890339425587,1.6423509201692112,67.93733681462142,1.6799694978741948,66.6579634464752,2.25546096411672,68.1201044386423,2.704167684489324,68.15926892950392,2.1788055898863634,68.40731070496084,2.4516215876419967,68.77284595300262,3.0800055621153515,66.59268929503916,2.184014105043838,67.48041775456919,1.893275484023992,67.911227154047,2.3721664018327338
breast_cancer,testing,90.78947368421052,1.95053568188982,59.82456140350877,1.2944996269695088,90.35087719298244,1.0128952091046075,90.6140350877193,1.173239920920402,90.52631578947368,0.9958705477150008,90.35087719298244,1.094051867477767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breast_cancer,training,91.95604395604394,1.3516433882196417,63.58241758241759,0.3284470589224891,92.43956043956044,0.8105094028389288,92.50549450549453,1.2322074276309023,92.6153846153846,1.1546308164012045,92.72527472527472,0.6589335332386603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
income,testing,51.45255399733852,1.1288527939701642,16.30463711741222,0.2147652180054823,50.85781553894974,0.6083986526267228,51.48531067663016,0.7001021813503793,51.694134507114335,0.9539884919797914,51.484287030402285,1.2206859063379831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
income,training,51.47058070790572,1.1244159843255133,16.559260870677964,0.0684272388402475,51.092826248304455,0.4595250163255649,51.43193509584624,0.8395072385170498,51.62874619302331,1.2651750908977606,51.27376961072864,0.8083220679486197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mushroom,testing,93.40923076923076,3.812786543052164,48.69538461538461,0.8112554697580561,89.65538461538462,1.5324189023591732,92.52923076923076,3.5056164197723123,92.04923076923076,3.4594128326370748,92.12923076923076,3.132012815028747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mushroom,training,93.85290044622248,3.301600539531265,48.07970456993384,0.2028450743740315,89.63686721034006,1.0219512907718935,92.46345591629482,3.6563419397138297,92.05723957531929,3.253252736169366,91.87721187875056,3.099308646836393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spam,testing,83.64820846905538,3.348622139450456,39.90228013029317,1.5348796785117629,58.28447339847992,4.449711052781686,83.58306188925081,2.678639523027126,84.01737242128122,4.036012356484755,84.90770901194354,3.703330363311323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spam,training,83.6141304347826,2.9605850434706205,39.27989130434783,0.3841370064971012,57.52445652173914,4.125932145670649,83.8586956521739,2.6192732914091392,84.22282608695653,3.356615681021248,84.3804347826087,4.078115437288256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
