Dataset,Method,Avg Training Accuracy,Avg Testing Accuracy,Training/Test,Rules,Training loops
tictactoe,"('Classical', 'N=', 0)",64.49086161879896,68.75,80/20,10,100
tictactoe,"('Classical', 'N=', 0)",69.9738903394256,62.5,80/20,10,100
tictactoe,"('Classical', 'N=', 0)",63.70757180156658,71.875,80/20,10,100
tictactoe,"('Classical', 'N=', 0)",64.88250652741515,67.70833333333333,80/20,10,100
tictactoe,"('Classical', 'N=', 0)",66.31853785900783,69.27083333333333,80/20,10,100
tictactoe,"('Classical', 'N=', 0)",73.49869451697128,63.020833333333336,80/20,10,100
tictactoe,"('Classical', 'N=', 0)",68.40731070496084,59.895833333333336,80/20,10,100
tictactoe,"('Classical', 'N=', 0)",68.27676240208878,64.0625,80/20,10,100
tictactoe,"('Classical', 'N=', 0)",68.53785900783289,65.625,80/20,10,100
tictactoe,"('Classical', 'N=', 0)",71.93211488250653,71.35416666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",60.31331592689295,62.5,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",57.96344647519582,57.29166666666666,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",60.052219321148826,60.9375,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",61.48825065274151,55.72916666666666,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",57.18015665796344,66.14583333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",60.57441253263708,63.020833333333336,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",60.31331592689295,58.333333333333336,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",60.18276762402089,56.25,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",57.44125326370757,58.85416666666666,80/20,10,100
tictactoe,"('Therm', 'N=', 1)",61.8798955613577,57.29166666666666,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",68.1462140992167,69.79166666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",71.54046997389034,67.70833333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",65.14360313315927,64.58333333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",64.49086161879896,68.22916666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",65.40469973890339,65.10416666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",65.53524804177546,68.75,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",65.14360313315927,68.22916666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",64.88250652741515,64.58333333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",68.01566579634465,64.0625,80/20,10,100
tictactoe,"('Therm', 'N=', 2)",68.27676240208878,65.625,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",70.49608355091384,79.16666666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",69.71279373368147,72.91666666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",67.75456919060052,67.1875,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",63.83812010443864,71.875,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",68.1462140992167,65.10416666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",72.19321148825065,70.83333333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",65.27415143603133,70.3125,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",67.23237597911228,60.9375,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",65.66579634464752,64.0625,80/20,10,100
tictactoe,"('Therm', 'N=', 3)",70.88772845953002,70.83333333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",65.53524804177546,64.58333333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",66.18798955613578,63.54166666666666,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",66.0574412532637,63.020833333333336,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",70.75718015665797,68.75,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",66.84073107049609,71.35416666666667,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",69.84334203655352,70.3125,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",70.6266318537859,67.70833333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",69.9738903394256,61.458333333333336,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",66.0574412532637,62.5,80/20,10,100
tictactoe,"('Therm', 'N=', 4)",69.71279373368147,70.83333333333333,80/20,10,100
tictactoe,"('Therm', 'N=', 5)",68.40731070496084,59.895833333333336,80/20,10,100
tictactoe,"('Therm', 'N=', 5)",65.40469973890339,65.10416666666667,80/20,10,100
